name,path,interpreter,sha256,main_bundle_exec,main_bundle_path,main_bundle_name,main_bundle_identifier,main_bundle_version,main_bundle_short_version_str,bundle_path,bundle_name,bundle_identifier,bundle_version,bundle_short_version_str,homebrew_package_name,homebrew_package_path,homebrew_package_description,homebrew_package_github,homebrew_package_homepage,homebrew_package_latest_stable_version,homebrew_keg_version,cert_sha256,cert_common_name,cert_organization,cert_organizational_unit,cert_valid_from,cert_valid_until
firefox,/Applications/Firefox.app/Contents/MacOS,,411dde6abf825bed8b51d0447769df4b2767155a1d3a9c3ad216f950ee868b47,1,/Applications/Firefox.app,Firefox,org.mozilla.firefox,5818.2.6,58.0.2,,,,,,,,,,,,,96f18e09d65445985c7df5df74ef152a0bc42e8934175a626180d9700c343e7b,Developer ID Application: Mozilla Corporation (43AQ936H96),Mozilla Corporation,43AQ936H96,2017-05-08 19:08:58 +0000,2022-05-09 19:08:58 +0000
pingsender,/Applications/Firefox.app/Contents/MacOS,,4bb2da1a30bc47f968309085eb8646e81364eb68553e8a7ab8644ff75338b5d5,0,/Applications/Firefox.app,Firefox,org.mozilla.firefox,5818.2.6,58.0.2,,,,,,,,,,,,,96f18e09d65445985c7df5df74ef152a0bc42e8934175a626180d9700c343e7b,Developer ID Application: Mozilla Corporation (43AQ936H96),Mozilla Corporation,43AQ936H96,2017-05-08 19:08:58 +0000,2022-05-09 19:08:58 +0000
firefox-bin,/Applications/Firefox.app/Contents/MacOS,,86248eb16655941ff5afedd5ebeb0f790326a9f020fb23ffdb3b2b8ac435ca08,0,/Applications/Firefox.app,Firefox,org.mozilla.firefox,5818.2.6,58.0.2,,,,,,,,,,,,,96f18e09d65445985c7df5df74ef152a0bc42e8934175a626180d9700c343e7b,Developer ID Application: Mozilla Corporation (43AQ936H96),Mozilla Corporation,43AQ936H96,2017-05-08 19:08:58 +0000,2022-05-09 19:08:58 +0000
plugin-container,/Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS,,7a832250d4469b5b60ffa0253c33f1d4aeb2e8192b6e89212e14138a5d67c6bf,0,/Applications/Firefox.app,Firefox,org.mozilla.firefox,5818.2.6,58.0.2,,,,,,,,,,,,,96f18e09d65445985c7df5df74ef152a0bc42e8934175a626180d9700c343e7b,Developer ID Application: Mozilla Corporation (43AQ936H96),Mozilla Corporation,43AQ936H96,2017-05-08 19:08:58 +0000,2022-05-09 19:08:58 +0000
crashreporter,/Applications/Firefox.app/Contents/MacOS/crashreporter.app/Contents/MacOS,,2517f80bc751f8eb4d416e5238af5a66ad3bf107ba054927bb365c9bf383fcb1,0,/Applications/Firefox.app,Firefox,org.mozilla.firefox,5818.2.6,58.0.2,,,,,,,,,,,,,96f18e09d65445985c7df5df74ef152a0bc42e8934175a626180d9700c343e7b,Developer ID Application: Mozilla Corporation (43AQ936H96),Mozilla Corporation,43AQ936H96,2017-05-08 19:08:58 +0000,2022-05-09 19:08:58 +0000
minidump-analyzer,/Applications/Firefox.app/Contents/MacOS/crashreporter.app/Contents/MacOS,,e201bd7d3b167f7f9999909384d3ba87e49745a215b435c6fea7ed6d08e46bcf,0,/Applications/Firefox.app,Firefox,org.mozilla.firefox,5818.2.6,58.0.2,,,,,,,,,,,,,96f18e09d65445985c7df5df74ef152a0bc42e8934175a626180d9700c343e7b,Developer ID Application: Mozilla Corporation (43AQ936H96),Mozilla Corporation,43AQ936H96,2017-05-08 19:08:58 +0000,2022-05-09 19:08:58 +0000
org.mozilla.updater,/Applications/Firefox.app/Contents/MacOS/updater.app/Contents/MacOS,,19f54ed0c3df2030849f7a58b55f30b4efb447d22e566800e6d8cd1d7e473a65,0,/Applications/Firefox.app,Firefox,org.mozilla.firefox,5818.2.6,58.0.2,,,org.mozilla.updater,1.0,,,,,,,,,96f18e09d65445985c7df5df74ef152a0bc42e8934175a626180d9700c343e7b,Developer ID Application: Mozilla Corporation (43AQ936H96),Mozilla Corporation,43AQ936H96,2017-05-08 19:08:58 +0000,2022-05-09 19:08:58 +0000
org.mozilla.updater,/Applications/Firefox.app/Contents/Library/LaunchServices,,2b3c47e6f1543c62fda78e2d3e440703080b96960029c652a743771ff29a1ad3,0,/Applications/Firefox.app,Firefox,org.mozilla.firefox,5818.2.6,58.0.2,,,org.mozilla.updater,1.0,,,,,,,,,96f18e09d65445985c7df5df74ef152a0bc42e8934175a626180d9700c343e7b,Developer ID Application: Mozilla Corporation (43AQ936H96),Mozilla Corporation,43AQ936H96,2017-05-08 19:08:58 +0000,2022-05-09 19:08:58 +0000
