name,path,interpreter,sha256,main_bundle_exec,main_bundle_path,main_bundle_name,main_bundle_identifier,main_bundle_version,main_bundle_short_version_str,bundle_path,bundle_name,bundle_identifier,bundle_version,bundle_short_version_str,homebrew_package_name,homebrew_package_path,homebrew_package_description,homebrew_package_github,homebrew_package_homepage,homebrew_package_latest_stable_version,homebrew_keg_version,cert_sha256,cert_common_name,cert_organization,cert_organizational_unit,cert_valid_from,cert_valid_until
pack200,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/bin,,3b6874748fe0a593de93a63cc8e4ce14a1356e26574cfa10574b1601b043ecfb,0,,,,,,,,net.java.openjdk.cmd,1.0,1.0,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
jjs,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/bin,,7d298591edf77b6f3ee7d81549b494f3f61b9f6b4b3fa9b907aa97d043310c9f,0,,,,,,,,net.java.openjdk.cmd,1.0,1.0,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
tnameserv,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/bin,,d2ec61d606044f6c7313852f4d87fff007b20de2bc823f2e6a4ad83547d39bee,0,,,,,,,,net.java.openjdk.cmd,1.0,1.0,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
jcontrol,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/bin,,ba5212c07edc29a377068022236fa0820863b098f4e0ffd93b43acee306cc8f6,0,,,,,,,,,,,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
JavaWSApplicationStub,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/lib/shortcuts,,64a414ff9f3699fca07c8b8b77852a892d8890f6ba9a1eb6f8158ff7bbaa1b6c,0,,,,,,,,,,,,,,,,,,,,,,,
jspawnhelper,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/lib,,ef683342502005f896c3c377fb76aba360129e0b16f3835bd8ed39cde1ca052f,0,,,,,,,,,,,,,,,,,,,,,,,
JavaUpdater,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Resources/JavaUpdater.app/Contents/MacOS,,f51f084d8c15b18070ab5a17b33e3ec589c8298c67dc291d194ec974314c62f3,0,,,,,,,,,,,,,,,,,,,,,,,
Helper-Tool,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Resources,/bin/bash,7a2c6e84bb1ff121196777056c1504d31a8348d70acb3f0d67334c9fe4f2a2a0,0,,,,,,,,,,,,,,,,,,,,,,,
JavawsLauncher,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Resources/JavawsLauncher.app/Contents/MacOS,,7f723fd0926746800d17183859346ce5f47719753e099d126f02737e94bc8ea7,0,,,,,,,,,,,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
JavaControlPanelHelper,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Resources,,3f9229c15dcca316594c1e62eeb36aa643533daaa1d91da1b9fa5d61975d0668,0,,,,,,,,,,,,,,,,,,,,,,,
finish_installation,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Frameworks/Sparkle.framework/Versions/A/Resources/finish_installation.app/Contents/MacOS,,38e3063bba8a45ca07ec3d1b69fd8c3d643a8e6039dc2c4a44ac989e4c8567b3,0,,,,,,,,,,,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
com.oracle.java.JavaUpdateHelper,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Frameworks/Sparkle.framework/Versions/A/Resources/finish_installation.app/Contents/Library/LaunchServices,,f9eff9d098debfcd65e81216d14ac5a09d8366e2fa18d0a400f72fb9133bc3eb,0,,,,,,,Install new Java Update,com.oracle.java.JavaUpdateHelper,..,,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
