name,path,interpreter,sha256,main_bundle_exec,main_bundle_path,main_bundle_name,main_bundle_identifier,main_bundle_version,main_bundle_short_version_str,bundle_path,bundle_name,bundle_identifier,bundle_version,bundle_short_version_str,homebrew_package_name,homebrew_package_path,homebrew_package_description,homebrew_package_github,homebrew_package_homepage,homebrew_package_latest_stable_version,homebrew_keg_version,cert_sha256,cert_common_name,cert_organization,cert_organizational_unit,cert_valid_from,cert_valid_until
,,,,1,,,,,,,,,,,,,,,,,,,,,,,
unpack200,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/bin,,e74c0d918b09aeef73d5439ff1782f2758713266ec7157ac52d234d44da508dc,0,,,,,,,,,,,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
appletviewer,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/bin,,e0dd56ff44e5a045a0e1993286e05436d3af2efa2833c6cd6605686b2ee7b719,0,,,,,,,,net.java.openjdk.cmd,1.0,1.0,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
idlj,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/bin,,0df27abf854d6187819f99b346fe1f1263c472f32029a2b205f80738db874dd3,0,,,,,,,,net.java.openjdk.cmd,1.0,1.0,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
rmid,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/bin,,0b3a412e5c9f25d5a32ef23b09d6c7b16d9a306d3d1aa7d822cfc98dd35b9dfa,0,,,,,,,,net.java.openjdk.cmd,1.0,1.0,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
rmiregistry,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/bin,,aa6efdd405f6d1dd6961ba8cb37c46151e4b878c75cc25fe16ceac61af1588ba,0,,,,,,,,net.java.openjdk.cmd,1.0,1.0,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
jrunscript,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/bin,,5e08613e91b61c566e2db9f9ad47bbfb297b0105f1225b02910e164b051a1985,0,,,,,,,,net.java.openjdk.cmd,1.0,1.0,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
java,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/bin,,55bb6a3085ef5cfa486b5a3957e6ec018065324a8d99b61bf0cc060a29fc7746,0,,,,,,,,net.java.openjdk.cmd,1.0,1.0,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
jweblauncher,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/bin,,f7a6a03562f3909d59a50e9b54d3a5a73b05f8a97871709cc2f2eca5536428c4,0,,,,,,,,,,,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
javaws,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/bin,,f227bd9dd7ded2add9bad57f0c721d53bacf88c49b37c11511276bc9811e8373,0,,,,,,,,,,,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
servertool,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/bin,,6a096375f30f37a9af5d846e8cef45ef259456d52a62c6272bbaa167eff64de3,0,,,,,,,,net.java.openjdk.cmd,1.0,1.0,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
orbd,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/bin,,329761ec52c699d8fcf6eff2e11ef87c8ae7b0baf99d12ff9b6a2a1b6a71b1b5,0,,,,,,,,net.java.openjdk.cmd,1.0,1.0,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
keytool,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/bin,,15f40bb7682a066c98d1fa146fb29d203abea525d9e029c8ae5832a3e93e8148,0,,,,,,,,net.java.openjdk.cmd,1.0,1.0,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
pack200,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/bin,,483936605e4760b5bc8fc9ed7526b513569e6f5b0828e02495600066fd9f10bf,0,,,,,,,,net.java.openjdk.cmd,1.0,1.0,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
